RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_sDVeg_	_sVegHeight_	_sDBent_	_sDRootPhra_	_sDShootPhra_	_sNH4WEpi_	_sNO3WEpi_	_sPO4WEpi_	_sPAIMWEpi_	_sSiO2WEpi_	_sO2WEpi_	_sDDetWEpi_	_sDIMWEpi_	_sDDiatWEpi_	_sDGrenWEpi_	_sDBlueWEpi_	_sDZooEpi_	_sDExtTotT_	_uDepthWEpi_	_uDepthWHyp_	_oO2WHyp_	_uVegHeight_	_oPTotWHyp_	_uPLoad_	_tPDifPO4Hyp_	_aDVeg_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	-1
0	120	2	3.50918	3.91495	0.000283553	0.229285	2	2.11544	5000	1000	0.641921	3.34064	0.779588	0.000328923	5.0428	21.6603	21.0804	5.20361	2.87779	0.0112921	0.385773	1.71469	33538.1	2	0.01	6.91704	2	0.921244	0.001	0	0.228781	6.70064	0.645059	0.444524	14.086	-2.91038e-011	-2.84217e-013	-3.55271e-014	4.26326e-014	0	-1
0	130	2	3.45074	4.39127	0.000281848	0.278404	2	1.78217	5000	1000	0.321572	3.03671	0.701393	0.000350445	3.24335	25.6658	26.3905	5.71322	10.2457	0.0244958	0.616925	1.36057	33558	2	0.01	6.91704	2	0.921244	0.001	0	0.27795	6.70064	0.410553	0.440565	52.6356	-3.63798e-011	-2.84217e-013	-5.68434e-014	2.84217e-014	0	-1
0	140	2	3.28009	5.09158	0.000279221	0.305672	2	1.51413	5000	1000	0.255975	2.33451	0.608482	0.000359248	0.937527	25.5672	34.2236	6.07433	14.4596	0.0310841	0.823565	1.78037	33576.9	2	0.01	6.91704	2	0.921244	0.001	0	0.305454	6.70064	0.311039	0.422018	78.9428	-4.36557e-011	-2.84217e-013	-3.55271e-014	4.26326e-014	0	-1
0	150	2	3.02727	5.71077	0.000276226	0.326784	2	1.36563	5000	1000	0.351672	2.03031	0.575303	0.00035002	0.429363	21.6242	37.7337	6.11203	11.597	0.0359107	1.06232	1.31483	33579.6	2	0.01	6.91704	2	0.921244	0.001	0	0.326519	6.70064	0.313483	0.409233	65.7535	-5.82077e-011	-2.84217e-013	-2.84217e-014	6.39488e-014	0	-1
0	160	2	2.75381	4.86509	0.000272611	0.354283	2	1.26256	5000	1000	0.328554	1.87074	0.543135	0.000328574	0.403982	20.5254	36.4208	5.94801	11.8702	0.0594266	1.59558	0.803357	33579.8	2	0.01	6.91704	2	0.921244	0.001	0	0.353975	6.70064	0.312107	0.40614	70.4787	-6.54836e-011	-2.84217e-013	-2.84217e-014	4.9738e-014	0	-1
0	170	2	2.53215	4.0861	0.000268895	0.383577	2	1.1937	5000	1000	0.292853	1.64638	0.498231	0.000304396	0.399039	20.3058	34.5551	5.72309	12.4686	0.0964403	2.49759	0.846594	33581.6	2	0.01	6.91704	2	0.921244	0.001	0	0.383273	6.70064	0.306757	0.396392	79.6628	-5.09317e-011	-3.41061e-013	-2.84217e-014	3.55271e-014	0	-1
0	180	2	2.36237	3.83042	0.000265679	0.410177	2	1.16325	5000	1000	0.274991	1.39247	0.447064	0.000282049	0.44822	20.1907	33.3428	5.49504	12.299	0.131462	3.71051	0.911987	33583.9	2	0.01	6.91704	2	0.921244	0.001	0	0.409821	6.70064	0.301181	0.382592	86.8792	-5.82077e-011	-4.54747e-013	-2.13163e-014	2.13163e-014	0	-1
0	190	2	2.20204	3.71463	0.000262395	0.437281	2	1.15777	5000	1000	0.254446	1.03447	0.373185	0.000257741	0.563097	20.1957	32.0923	5.24102	12.0569	0.165341	5.58561	0.903776	33587.1	2	0.01	6.91704	2	0.921244	0.001	0	0.436989	6.70064	0.290128	0.365141	98.2229	-5.82077e-011	-5.68434e-013	-2.13163e-014	1.42109e-014	0	-1
0	200	2	2.0858	3.59949	0.000259771	0.455906	2	1.16958	5000	1000	0.244719	0.636537	0.292379	0.000237902	0.732444	20.2438	30.9571	5.04391	11.9384	0.18498	7.65584	0.86812	33590.6	2	0.01	6.91704	2	0.921244	0.001	0	0.455734	6.70064	0.276861	0.34855	111.689	-5.82077e-011	-5.11591e-013	-2.84217e-014	2.13163e-014	0	-1
0	210	2	1.99251	3.45144	0.000257345	0.467359	2	1.1903	5000	1000	0.246836	0.203173	0.201972	0.000220345	0.998531	20.1847	29.8681	4.88908	11.6758	0.188521	9.92964	0.830608	33594.1	2	0.01	6.91704	2	0.921244	0.001	0	0.467274	6.70064	0.263824	0.330705	125.791	-5.82077e-011	-4.54747e-013	-2.13163e-014	1.42109e-014	0	-1
0	220	2	1.91496	3.25799	0.000254839	0.47088	2	1.21683	5000	1000	0.123579	0.0147774	0.104045	0.000204344	1.43558	19.7348	28.7476	4.77514	11.004	0.170747	12.2758	0.786657	33597.4	2	0.01	6.91704	2	0.921244	0.001	0	0.47089	6.70064	0.253707	0.310149	138.075	-5.82077e-011	-6.25278e-013	-7.10543e-015	2.84217e-014	0	-1
0	230	2	1.8642	3.06143	0.000252638	0.46694	2	1.23996	5000	1000	0.0804249	0.00821068	0.031706	0.000193329	1.95966	19.4508	27.7598	4.71678	10.0342	0.138716	13.8346	0.747734	33599.3	2	0.01	6.91704	2	0.921244	0.001	0	0.467049	6.70064	0.25089	0.291528	143.134	-5.82077e-011	-6.25278e-013	0	2.13163e-014	0	-1
0	240	2	1.83079	2.87015	0.000250625	0.458841	2	1.25873	5000	1000	0.0706556	0.00719893	0.00572508	0.00018719	2.57364	19.1382	26.8124	4.68779	8.67878	0.107988	14.7463	0.709665	33599.8	2	0.01	6.91704	2	0.921244	0.001	0	0.458926	6.70064	0.254655	0.275797	141.468	-5.82077e-011	-6.82121e-013	-1.42109e-014	1.42109e-014	0	-1
0	250	2	1.80674	2.64969	0.000248517	0.44689	2	1.27593	5000	1000	0.0664311	0.00687131	0.00402568	0.00018397	3.33685	18.9512	25.6656	4.66413	6.99928	0.0816378	15.3488	0.661603	33599.5	2	0.01	6.91704	2	0.921244	0.001	0	0.447014	6.70064	0.263441	0.263043	135.725	-3.63798e-011	-7.38964e-013	-7.10543e-015	7.10543e-015	0	-1
0	260	2	1.79242	2.41876	0.000246512	0.431969	2	1.29217	5000	1000	0.0639827	0.00673357	0.00346742	0.000180675	4.14135	18.9286	24.4047	4.62426	5.3625	0.0616459	15.6757	0.616417	33598.8	2	0.01	6.91704	2	0.921244	0.001	0	0.432111	6.70064	0.275395	0.252369	128.277	-5.09317e-011	-6.82121e-013	7.10543e-015	1.42109e-014	0	-1
0	270	2	1.78653	2.20248	0.000244823	0.415149	2	1.31011	5000	1000	0.0624122	0.00670238	0.00314686	0.000176508	4.91473	19.0179	23.1194	4.54773	3.88746	0.0473363	15.7493	0.576049	33597.9	2	0.01	6.91704	2	0.921244	0.001	0	0.415307	6.70064	0.289897	0.243092	119.975	-5.82077e-011	-6.25278e-013	0	2.84217e-014	0	-1
0	280	2	1.78757	2.00241	0.000243557	0.396438	2	1.33406	5000	1000	0.0608374	0.00670241	0.00290648	0.000170819	5.63434	19.2512	21.7833	4.41823	2.6526	0.0374209	15.582	0.539208	33596.8	2	0.01	6.91704	2	0.921244	0.001	0	0.396612	6.70064	0.307011	0.234131	111.333	-4.36557e-011	-6.25278e-013	7.10543e-015	3.55271e-014	0	-1
0	290	2	1.79522	1.82269	0.000242732	0.359168	2	1.36815	5000	1000	0.0592973	0.00675126	0.00271158	0.000163249	6.27359	19.6166	20.3999	4.22819	1.69694	0.0304833	15.1471	0.507782	33595.5	2	0.01	6.91704	2	0.921244	0.001	0	0.360112	6.70064	0.327504	0.224695	102.336	-5.82077e-011	-5.68434e-013	3.55271e-014	3.55271e-014	0	-1
0	300	2	1.80985	1.66334	0.000241639	0.150919	2	1.41723	5000	1000	0.0579579	0.00691843	0.00253682	0.000153306	6.8258	20.1218	18.9576	3.9811	1.00138	0.0253894	14.407	0.481713	33593.7	2	0.01	6.91704	2	0.921244	0.001	0	0.152182	6.70064	0.352676	0.214153	92.7795	-5.09317e-011	-4.54747e-013	3.55271e-014	3.55271e-014	0	-1
0	310	2	1.82835	1.54151	0.000240926	0.104908	2	1.47632	5000	1000	0.0575053	0.0072516	0.00241883	0.000142521	7.2277	20.6797	17.6239	3.71908	0.58703	0.0219464	13.4978	0.462524	33592.2	2	0.01	6.91704	2	0.921244	0.001	0	0.104974	6.70064	0.380814	0.203427	83.6516	-5.09317e-011	-4.54747e-013	3.55271e-014	4.26326e-014	0	-1
0	320	2	1.85092	1.43766	0.000241492	0.0986709	2	1.55141	5000	1000	0.0587805	0.00794293	0.00235136	0.000130927	7.54235	21.3254	16.2738	3.44022	0.327582	0.0192464	12.3957	0.445227	33590.5	2	0.01	6.91704	2	0.921244	0.001	0	0.0987446	6.70064	0.415358	0.191714	74.1486	-5.09317e-011	-4.54747e-013	2.84217e-014	4.26326e-014	0	-1
0	330	2	1.87565	1.3501	0.000243314	0.0934555	2	1.64077	5000	1000	0.0632389	0.00934351	0.00236177	0.000119838	7.77228	22.0285	14.9627	3.17506	0.179851	0.0171625	11.1901	0.427374	33588.8	2	0.01	6.91704	2	0.921244	0.001	0	0.0935197	6.70064	0.456837	0.179479	64.6487	-5.82077e-011	-2.84217e-013	4.26326e-014	4.26326e-014	0	-1
0	340	2	1.89824	1.28208	0.000245906	0.0896615	2	1.73106	5000	1000	0.072054	0.0119528	0.00248892	0.000111037	7.91701	22.6833	13.8509	2.96538	0.106952	0.0157483	10.0889	0.408709	33587.3	2	0.01	6.91704	2	0.921244	0.001	0	0.0897168	6.70064	0.500029	0.168456	56.4708	-5.09317e-011	-2.84217e-013	4.26326e-014	3.55271e-014	0	-1
0	350	2	1.92069	1.21972	0.000249373	0.086654	2	1.83097	5000	1000	0.0883597	0.0178445	0.00288832	0.000103561	8.01577	23.3468	12.8017	2.78772	0.0666673	0.0147471	8.99827	0.385721	33586	2	0.01	6.91704	2	0.921244	0.001	0	0.0866855	6.70064	0.550035	0.1574	48.6957	-5.09317e-011	-2.27374e-013	4.26326e-014	3.55271e-014	0	-1
0	360	2	1.94011	1.16739	0.000253136	0.0847149	2	1.92609	5000	1000	0.109264	0.0293315	0.00398964	9.82672e-005	8.07048	23.9115	11.9436	2.66182	0.0479028	0.014304	8.0741	0.361406	33585	2	0.01	6.91704	2	0.921244	0.001	0	0.0847408	6.70064	0.59923	0.147915	42.4449	-5.82077e-011	-1.7053e-013	5.68434e-014	4.26326e-014	0	-1
