time	sDepthWN0	sDFiAdN0	sDepthWN1	sDFiAdN1	sDepthWN2	sDFiAdN2	sDepthWN3	sDFiAdN3	sDepthWN4	sMixDepthWN4	sDFiAdN4	sDepthWN5	sDFiAdN5	sDepthWN6	sDFiAdN6	sDepthWN7	sDFiAdN7	sDepthWN8	sDFiAdN8	sDepthWN9	sDFiAdN9	sDepthWN10	sDFiAdN10	sDepthWN11	sDFiAdN11	sDepthWN110	sDFiAdN110
17899	3	5.706755059	1.2	5.454713113	1.5	6.402656494	1.5	5.712014722	1.5	0	5.565056741	3	5.706755059	3	5.706755059	3	5.706755059	3	5.706755059	3	5.706755059	3	5.706755059	3	5.706755059	3	5.706755059
17900	3	5.707529818	1.2	5.459243118	1.5	6.40549515	1.5	5.715154862	1.5	0	5.568230295	3	5.707529818	3	5.707529818	3	5.707529818	3	5.707529818	3	5.707529818	3	5.707529818	3	5.707529818	3	5.707529818
17901	3	5.708282796	1.2	5.463691314	1.5	6.408270384	1.5	5.718233967	1.5	0	5.571343062	3	5.708282796	3	5.708282796	3	5.708282796	3	5.708282796	3	5.708282796	3	5.708282796	3	5.708282796	3	5.708282796
17902	3	5.70901876	1.2	5.468065217	1.5	6.410989244	1.5	5.721258663	1.5	0	5.574401571	3	5.70901876	3	5.70901876	3	5.70901876	3	5.70901876	3	5.70901876	3	5.70901876	3	5.70901876	3	5.70901876
17903	3	5.709742461	1.2	5.47237227	1.5	6.413658712	1.5	5.724235521	1.5	0	5.577412301	3	5.709742461	3	5.709742461	3	5.709742461	3	5.709742461	3	5.709742461	3	5.709742461	3	5.709742461	3	5.709742461
17904	3	5.710458647	1.2	5.476619856	1.5	6.416285714	1.5	5.727171068	1.5	0	5.580381684	3	5.710458647	3	5.710458647	3	5.710458647	3	5.710458647	3	5.710458647	3	5.710458647	3	5.710458647	3	5.710458647
17905	3	5.711172068	1.2	5.480815301	1.5	6.41887713	1.5	5.730071794	1.5	0	5.583316121	3	5.711172068	3	5.711172068	3	5.711172068	3	5.711172068	3	5.711172068	3	5.711172068	3	5.711172068	3	5.711172068
17906	3	5.711887487	1.2	5.484965887	1.5	6.421439806	1.5	5.732944165	1.5	0	5.586221985	3	5.711887487	3	5.711887487	3	5.711887487	3	5.711887487	3	5.711887487	3	5.711887487	3	5.711887487	3	5.711887487
17907	3	5.712609679	1.2	5.489078865	1.5	6.423980561	1.5	5.735794629	1.5	0	5.589105633	3	5.712609679	3	5.712609679	3	5.712609679	3	5.712609679	3	5.712609679	3	5.712609679	3	5.712609679	3	5.712609679
17908	3	5.713343448	1.2	5.493161458	1.5	6.426506202	1.5	5.738629623	1.5	0	5.591973414	3	5.713343448	3	5.713343448	3	5.713343448	3	5.713343448	3	5.713343448	3	5.713343448	3	5.713343448	3	5.713343448
17909	3	5.714093628	1.2	5.497220875	1.5	6.429023529	1.5	5.741455587	1.5	0	5.594831675	3	5.714093628	3	5.714093628	3	5.714093628	3	5.714093628	3	5.714093628	3	5.714093628	3	5.714093628	3	5.714093628
17910	3	5.71486509	1.2	5.50126432	1.5	6.43153935	1.5	5.74427897	1.5	0	5.597686776	3	5.71486509	3	5.71486509	3	5.71486509	3	5.71486509	3	5.71486509	3	5.71486509	3	5.71486509	3	5.71486509
17911	3	5.715662751	1.2	5.505299002	1.5	6.434060487	1.5	5.747106239	1.5	0	5.600545092	3	5.715662751	3	5.715662751	3	5.715662751	3	5.715662751	3	5.715662751	3	5.715662751	3	5.715662751	3	5.715662751
